"","name","country.etc","pop","lat","long","capital","x","y","city"
"365","Greeley CO","CO",88957,40.42,-104.74,0,-401307.781600812,-497627.286248061,"Greeley"
"366","Green Bay WI","WI",100616,44.52,-87.99,0,947853.286063606,16982.2626652916,"Green Bay"
"367","Greensboro NC","NC",233342,36.08,-79.83,0,1796714.82810254,-773746.642901422,"Greensboro"
"368","Greenville NC","NC",72617,35.6,-77.37,0,2022641.43178955,-769713.991443885,"Greenville"
"369","Greenville SC","SC",55421,34.84,-82.37,0,1600980.95360934,-960534.103072203,"Greenville"
"370","Greenwich CT","CT",64100,41.04,-73.59,0,2169081.78481749,-86624.554182086,"Greenwich"
"371","Greenwood IN","IN",42298,39.62,-86.11,0,1184126.83007104,-498417.228323289,"Greenwood"
"372","Gresham OR","OR",100674,45.5,-122.44,0,-1720785.64917793,297496.534507976,"Gresham"
"373","Gulfport MS","MS",71400,30.39,-89.07,0,1053518.17615883,-1553462.78479085,"Gulfport"
"374","Hacienda Heights CA","CA",54439,34,-117.97,0,-1649012.68662716,-1045806.76927701,"Hacienda Heights"
"375","Hackensack NJ","NJ",43923,40.89,-74.05,0,2137931.31726737,-114885.577415634,"Hackensack"
"376","Haltom City TX","TX",42053,32.82,-97.27,0,256501.219051226,-1347713.5864114,"Haltom City"
"377","Hamden CT","CT",60388,41.37,-72.89,0,2212387.42027149,-32423.5802998343,"Hamden"
"378","Hamilton NJ","NJ",91245,40.09,-74.39,0,2137342.30609127,-209708.896502817,"Hamilton"
"379","Hamilton OH","OH",61527,39.39,-84.56,0,1318963.64769272,-500228.557583794,"Hamilton"
"380","Hammond IN","IN",78051,41.62,-87.49,0,1035363.08066144,-296725.840658217,"Hammond"
"381","Hampton VA","VA",148201,37.05,-76.29,0,2074524.37766772,-586130.217043112,"Hampton"
"382","Hanford CA","CA",48892,36.33,-119.65,0,-1745527.59472368,-757524.905021462,"Hanford"
"383","Harlingen TX","TX",64198,26.2,-97.69,0,233574.413740593,-2078044.1991113,"Harlingen"
"384","Harrisburg PA","PA",47576,40.28,-76.88,2,1931162.03383519,-251167.32304812,"Harrisburg"
